公司代码,公司简称,公司全称,英文名称,注册地址,A股代码,A股简称,A股上市日期,A股总股本,A股流通股本,B股代码,B股 简 称,B股上市日期,B股总股本,B股流通股本,地      区,省    份,城     市,所属行业,公司网址
300001,特锐德,青岛特锐德电气股份有限公司,"Qingdao TGOOD Electric Co.,Ltd.",山东省青岛市崂山区松岭路336号,300001,特锐德,2009-10-30,"997,570,075","869,956,518",,,,0,0,华东,山东,青岛市,C 制造业,www.qdtgood.com
300002,神州泰岳,北京神州泰岳软件股份有限公司,"Beijing Ultrapower Software Co., LTD",北京市海淀区万泉庄路28号万柳新贵大厦A座6层601室,300002,神州泰岳,2009-10-30,"1,961,091,984","1,383,381,499",,,,0,0,华北,北京,北京市,I 信息技术,www.ultrapower.com.cn
300003,乐普医疗,乐普（北京）医疗器械股份有限公司,"Lepu Medical Technology (Beijing) Co.,Ltd.",北京市昌平区超前路37号,300003,乐普医疗,2009-10-30,"1,781,652,921","1,411,596,427",,,,0,0,华北,北京,北京市,C 制造业,www.lepumedical.com
300004,南风股份,南方风机股份有限公司,"NanFang Ventilator Co., Ltd.",广东省佛山市南海区小塘三环西路(狮南段)31号,300004,南风股份,2009-10-30,"509,218,928","401,692,962",,,,0,0,华南,广东,佛山市,C 制造业,www.ntfan.com
300005,探路者,探路者控股集团股份有限公司,"Toread  Holdings Group  Co., Ltd.",北京市昌平区科技园区永安路26号609,300005,探路者,2009-10-30,"891,293,904","643,607,001",,,,0,0,华北,北京,北京市,C 制造业,www.toread.com.cn
300006,莱美药业,重庆莱美药业股份有限公司,"Chongqing Lummy Pharmaceutical Co.,Ltd.",重庆市南岸区玉马路99号,300006,莱美药业,2009-10-30,"812,241,205","585,578,616",,,,0,0,西南,重庆,重庆市,C 制造业,www.cqlummy.com
300007,汉威科技,汉威科技集团股份有限公司,Hanwei Electronics Group Corporation,河南省郑州高新技术开发区雪松路169号,300007,汉威科技,2009-10-30,"293,022,806","224,053,113",,,,0,0,华中,河南,郑州市,C 制造业,www.hwsensor.com
300008,天海防务,天海融合防务装备技术股份有限公司,"BESTWAY MARINE & ENERGY TECHNOLOGY CO., LTD.",上海市松江区莘砖公路518号10幢8层,300008,天海防务,2009-10-30,"960,016,185","580,596,746",,,,0,0,华东,上海,上海市,M 科研服务,www.bestwaysh.com
300009,安科生物,安徽安科生物工程(集团)股份有限公司,"ANHUI ANKE BIOTECHNOLOGY (GROUP)CO.,LTD.",安徽省合肥市长江西路669号高新区海关路K-1,300009,安科生物,2009-10-30,"712,522,480","461,019,880",,,,0,0,华东,安徽,合肥市,C 制造业,www.ankebio.com
300010,立思辰,北京立思辰科技股份有限公司,"BEIJING LANXUM TECHNOLOGY CO.,LTD.",北京市门头沟区石龙南路6号1幢6-206室,300010,立思辰,2009-10-30,"873,060,697","623,149,758",,,,0,0,华北,北京,北京市,I 信息技术,www.lanxum.com
300011,鼎汉技术,北京鼎汉技术股份有限公司,"Beijing Dinghan Technology Co.,Ltd.",北京市丰台区南四环西路188号十八区2号楼（园区）,300011,鼎汉技术,2009-10-30,"558,650,387","444,966,308",,,,0,0,华北,北京,北京市,C 制造业,www.dinghantech.com
300012,华测检测,华测检测认证集团股份有限公司,"CENTRE TESTING INTERNATIONAL GROUP CO., LTD.",广东省深圳市宝安区70区留仙三路6号鸿威工业园C栋厂房1楼,300012,华测检测,2009-10-30,"1,657,530,714","1,468,311,910",,,,0,0,华南,广东,深圳市,M 科研服务,www.cti-cert.com
